Time,80,40,20,sd 80,sd 40,sd 20
33.5,140768.5,71245.5,33186,12230.82599,9505.636459,3939.998985
34,140665.5,71493,33007,13428.66488,9482.301936,3886.258869
34.5,140507,70936,33066,13625.94767,9353.608502,3897.572578
35,141208,71378.5,33034,14144.96405,8818.328668,3699.582679
35.5,141207,71242,33243.5,14020.51326,9175.417593,3875.652268
36,142166,71030,32890,13836.66549,8423.055977,3795.749201
36.5,141674.5,70763.5,32753.5,14089.10262,8925.808899,3721.502989
37,140977,70551,32792,14395.27985,8848.73426,3829.690327
37.5,141538.5,70955,32969,14066.4752,8797.822572,3915.957354
38,141545.5,71110,32841,14108.90161,8270.320913,3768.879144
38.5,141249,70404,32884.5,14495.68901,9035.41045,3885.551763
39,141043.5,70160.5,32903.5,14096.17368,8232.844253,3715.846135
39.5,141711,70049.5,32778.5,14395.27985,8364.366115,4010.002556
40,141355,69748.5,32514.5,13283.70799,8910.25255,3821.912152
40.5,140714.5,70069,32636.5,13970.30868,9052.381013,3976.061431
41,141151,69798,32617,14395.27985,8960.457131,4085.662982
41.5,140593.5,69508.5,32575.5,14642.06012,8282.341728,3932.22081
42,140119,69618.5,32597.5,15266.43541,8490.231122,3772.414678
42.5,139930,69160,32554.5,15293.30546,8280.220408,3813.426871
43,140667,68965,32502.5,14309.01282,8438.612327,4025.558905
43.5,140180,68702,32519,14017.68483,8131.727984,3825.447686
44,140080,68946.5,32422.5,14273.65749,8329.010776,3722.917203
44.5,140705.5,68994,32245.5,14239.00925,7802.216224,4014.245197
45,139251.5,68742,32282,13718.57866,8411.742269,4016.366517
45.5,139715.5,68655,32380,14306.8915,8000.206122,4024.851799
46,139943.5,68249.5,32193.5,14216.38184,8471.846345,3949.191373
46.5,139405,68589,32383.5,12668.52509,8356.58794,3875.652268
47,139431.5,68803,32499.5,14097.5879,7614.12582,3731.402484
47.5,139537.5,68357,32364,14684.48652,7478.361318,3860.803025
48,139247,68625,32332.5,15767.06701,7530.68722,3618.265399
48.5,139255.5,68471,32062.5,13585.64259,8217.995011,3725.74563
49,139003.5,67965,32253,13507.86084,7895.554319,3825.447686
49.5,139169.5,67735,32128.5,14099.00211,7389.265863,3768.172037
50,138044.5,67566.5,31967,12663.57534,7739.28372,3532.705479
50.5,138821,67687.5,32225.5,14061.52545,7462.097862,3727.159844
51,137950.5,67715,32036,14029.70565,7519.373511,3894.744151
51.5,138023.5,67571,31940,14765.0967,7638.16745,3835.347181
52,137577,67132.5,31904,13391.18822,7398.458252,3855.146171
52.5,137054.5,66695.5,32053.5,13312.69937,7132.586102,3697.461359
53,137489,67074,31882.5,13314.82069,7240.773439,3700.289786
53.5,137531.5,66390.5,31822.5,12821.96726,7056.218569,3998.688848
54,138123.5,66911.5,31775,12901.16322,6909.140359,3668.469981
54.5,137541.5,66638,31773,13096.32469,7093.695229,3525.634411
55,136464.5,66348.5,31661.5,14985.71401,7003.892668,3718.674562
55.5,137089,66421,31609,13842.32235,7008.842415,3822.619259
56,137142,65985.5,31644.5,12611.95655,6691.35147,3741.301979
56.5,136528.5,66240,31542.5,12618.32051,7164.405907,3539.06944
57,136426.5,66463.5,31401,13418.76539,6347.697575,3722.210096
57.5,136274,66082,31711.5,13541.09486,7008.842415,3916.664461
58,135912.5,66024.5,31550.5,12403.36005,7463.512075,4145.767058
58.5,135714.5,65885.5,31359,13810.50254,7013.792163,3536.948119
59,135972.5,66038.5,31582.5,12800.75406,7010.963735,3720.088776
59.5,136297,65672.5,31668,12337.59912,6651.753491,3560.98975
60,137714,65037,31547.5,12996.62264,6618.519472,3539.06944
60.5,136583.5,65366,31405.5,12447.20067,7056.925676,3676.248155
61,136237,65012.5,31289,11838.38173,6870.956593,3602.001943
61.5,134265.5,64949,31285.5,11269.16077,6834.894147,3837.468501
