Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
91.5,2756,2399,2420,77508,51172,25675,13154,5508
92,2799,2572,2492,77046,51080,25857,12971,5575
92.5,2747,2498,2389,78004,51240,25558,13102,5454
93,2788,2466,2455,78021,50766,25625,13062,5476
93.5,2749,2530,2436,78153,50598,25860,13180,5558
94,2769,2504,2436,78118,50822,25759,13086,5541
94.5,2784,2540,2499,77531,50790,25833,12963,5536
95,2712,2524,2479,77715,50698,25815,12927,5445
95.5,2766,2449,2442,77400,50640,25970,13117,5467
96,2743,2565,2432,77571,50465,25649,12992,5451
96.5,2769,2590,2586,77334,50964,25633,13028,5503
97,2806,2498,2479,76990,50234,25726,13100,5472
97.5,2749,2553,2478,77448,50656,25422,13030,5508
98,2716,2526,2451,77266,50120,25610,13004,5475
98.5,2762,2424,2438,77335,50699,25686,13038,5426
99,2711,2478,2466,77156,50630,25703,13088,5472
99.5,2742,2476,2452,77366,50680,25655,13084,5476
100,2777,2518,2432,76934,50138,25577,12896,5484
100.5,2778,2563,2547,76644,50472,25527,13124,5429
101,2798,2524,2454,76964,50605,25504,13078,5444
101.5,2775,2566,2488,76798,50471,25550,12996,5488
102,2758,2530,2446,76958,49848,25455,12993,5468
102.5,2823,2516,2522,76470,50051,25450,13019,5521
103,2719,2542,2425,76343,49989,25428,12982,5434
103.5,2732,2466,2359,76357,49915,25633,12989,5419
104,2762,2472,2360,75905,50053,25544,13107,5469
104.5,2732,2464,2467,76559,49910,25711,12994,5505
105,2742,2501,2479,76319,50298,25428,13017,5504
105.5,2732,2490,2494,76096,50076,25380,13135,5480
106,2736,2514,2530,76288,49687,25280,12834,5431
106.5,2749,2527,2498,76560,49555,25400,12944,5502
107,2760,2470,2462,75838,50004,25392,12959,5463
107.5,2677,2485,2486,75448,49800,25231,13035,5448
108,2752,2498,2420,75782,49738,25313,12902,5440
108.5,2813,2517,2507,75376,49827,25399,12922,5441
109,2794,2413,2373,75726,49861,25437,12938,5355
109.5,2753,2513,2430,75398,49204,24988,12968,5510
110,2694,2464,2421,75699,49569,25296,12950,5493
110.5,2754,2499,2344,74931,49760,24967,12915,5376
111,2820,2411,2486,75322,49318,25184,12913,5460
111.5,2762,2495,2447,75241,49726,25401,12896,5452
112,2704,2385,2485,74954,49304,25258,12970,5406
112.5,2745,2429,2386,75901,49778,25189,12886,5444
113,2758,2497,2374,76021,48966,25015,12968,5412
113.5,2786,2448,2454,75034,49208,25034,12830,5398
