Time,blank,blank,blank,EAS 80,EAS 80,EAS 80,EAS 40 ,EAS 40,EAS 40,EAS 20,EAS 20,EAS 20,EAS 10,EAS 10,EAS 10,EAS 5,EAS 5,EAS 5
98,2405,2273,2213,84036,87254,86938,38326,38288,37461,19936,19565,19379,11720,11376,11142,6033,6036,5359
98.5,2465,2236,2300,84009,86678,86288,38589,38448,37546,19672,19580,19547,11750,11322,11438,6009,6018,5219
99,2456,2199,2155,83296,87045,86257,38296,38336,37336,19851,19471,19360,11746,11265,11299,6028,6049,5233
99.5,2458,2240,2140,83376,86667,86356,38671,38050,37238,19994,19520,19327,11752,11279,11295,6146,6006,5172
100,2412,2175,2138,83642,87464,86288,38597,38431,37379,19958,19330,19354,11668,11353,11299,6103,6038,5266
100.5,2385,2277,2206,82888,86214,85828,38863,38352,37359,19910,19623,19374,11774,11393,11312,6104,6022,5202
101,2455,2210,2140,83769,86937,86291,38204,38435,37748,19946,19621,19164,11649,11339,11276,6151,6024,5230
101.5,2477,2206,2184,83324,86366,85883,38526,38273,37475,19956,19419,19393,11694,11450,11297,6088,5999,5290
102,2398,2239,2188,82986,86247,86413,38623,38157,37171,19800,19417,19421,11706,11299,11331,6044,6079,5378
102.5,2442,2222,2202,83900,86912,86253,38462,38299,37114,19909,19391,19328,11664,11304,11166,6032,6060,5298
103,2426,2206,2180,82688,86879,86313,38480,38479,37478,19874,19440,19285,11733,11276,11211,6117,5953,5231
103.5,2406,2292,2221,82674,86857,86176,38456,38015,37078,19760,19658,19298,11824,11430,11258,6175,5954,5306
104,2408,2210,2190,83074,86568,85909,38171,38144,37210,19606,19584,19410,11732,11221,11234,6075,5977,5271
104.5,2413,2247,2209,83557,86938,85974,38341,38206,37252,19767,19440,19192,11752,11261,11208,6086,5994,5278
105,2456,2182,2158,83646,86001,86254,38333,38166,37269,19856,19452,19463,11675,11354,11362,6095,6076,5257
105.5,2410,2209,2194,82784,86473,85563,38510,38066,37309,19785,19426,19328,11648,11277,11273,6084,5988,5289
106,2428,2213,2145,83225,86689,86130,38272,37833,37062,20009,19291,19226,11670,11243,11203,6052,6015,5260
106.5,2481,2262,2145,82606,86530,85696,38295,38268,37257,19687,19440,19239,11683,11362,11353,6082,6013,5180
107,2450,2217,2164,83153,86080,85564,38109,38070,37312,19864,19476,19284,11646,11284,11237,6037,5983,5260
107.5,2416,2248,2153,83117,85852,85547,38383,38172,37024,19820,19505,19210,11713,11311,11176,6049,5963,5224
108,2436,2214,2149,82794,86109,85486,38154,38274,36551,19863,19284,19338,11684,11211,11269,6019,6022,5190
108.5,2404,2180,2148,83439,85671,85040,38450,37806,37015,19851,19481,19510,11662,11276,11188,6012,5976,5306
109,2435,2197,2153,82791,86174,85792,38286,38122,37188,19474,19576,19258,11608,11298,11308,6053,5966,5267
109.5,2417,2225,2144,82872,86220,85437,38029,37756,37124,19667,19367,19357,11735,11393,11166,6053,5970,5224
110,2417,2333,2226,82757,86453,85312,38326,37836,36988,19655,19448,19218,11740,11304,11235,6076,5959,5236
110.5,2410,2219,2168,82612,86162,85105,38066,37955,36889,19759,19315,19327,11731,11316,11228,6110,5920,5329
111,2427,2177,2201,82957,85755,85427,38347,38061,36911,19771,19408,19236,11674,11206,11296,6032,6038,5174
111.5,2414,2244,2165,83296,86575,85674,38204,37792,37314,19713,19283,19228,11669,11320,11137,6009,5884,5191
112,2447,2174,2175,82708,86304,85697,38362,37772,37034,19798,19428,19336,11665,11270,11186,6060,5965,5211
112.5,2451,2244,2178,82296,85624,85116,38016,37738,36905,19619,19407,19357,11754,11279,11181,6017,6000,5181
113,2418,2290,2232,83324,86528,85492,38037,38114,37202,19603,19370,19220,11639,11346,11296,5942,6001,5269
113.5,2442,2220,2233,82759,86830,85871,38171,37858,36893,19798,19330,19358,11617,11230,11238,5992,6104,5230
114,2441,2342,2218,83195,86116,85417,38246,38045,37096,19694,19355,19248,11661,11286,11216,6029,5975,5188
114.5,2475,2224,2232,83658,86281,85782,38272,38016,36655,19719,19501,19118,11648,11248,11164,5941,6028,5148
115,2396,2192,2129,82085,85672,85196,38056,38082,37051,19661,19408,19162,11678,11304,11138,6019,5974,5179
115.5,2480,2190,2180,82322,85976,85149,38004,37860,37058,19614,19133,19231,11631,11352,11147,5999,5894,5240
116,2434,2240,2167,82943,85879,85552,37917,37841,36887,19877,19506,19269,11595,11298,11245,6006,6021,5168
116.5,2418,2234,2166,82731,85652,84857,38045,37728,36864,19647,19486,19110,11536,11226,11202,5895,6003,5242
117,2421,2230,2248,82512,85540,85224,38098,37709,36868,19838,19455,19268,11631,11303,11213,5991,5936,5135
117.5,2419,2298,2228,82903,85534,84711,38064,37526,36884,19566,19574,19237,11580,11224,11087,5957,5919,5192
118,2382,2282,2207,81867,85914,85482,38246,37586,36988,19750,19451,19261,11632,11184,11245,6032,5998,5164
118.5,2444,2269,2231,82628,85152,85138,37984,37260,36736,19689,19376,19405,11568,11281,11234,6046,5958,5185
119,2435,2254,2216,82687,85857,84846,37955,37618,36982,19602,19380,19267,11540,11336,11201,6012,5959,5142
119.5,2451,2212,2118,82706,85432,84886,38002,37635,37120,19730,19418,19198,11595,11343,11333,5906,5933,5126
